instance,F5,F6,F7,F8
R2D1T5Delta125Tmax150Iter1,2.98802,2.98802,2.988,2.98781
R2D1T5Delta125Tmax450Iter1,2.98802,2.98802,2.988,2.98802
R2D1T5Delta125Tmax450Iter7,4.98091,4.98091,4.98079,4.98091
R2D1T5Delta125Tmax600Iter6,3.98664,3.98636,3.98664,3.98664
R2D1T5Delta125Tmax600Iter7,4.98091,4.98079,4.98091,4.98091
R2D1T5Delta150Tmax150Iter9,3.99099,3.99086,3.99099,3.99099
R2D1T5Delta150Tmax300Iter1,4.97526,4.97516,4.97526,4.97526
R2D1T5Delta150Tmax300Iter7,4.98091,4.98091,4.98079,4.98091
R2D1T5Delta150Tmax450Iter1,4.97526,4.97516,4.97526,4.97526
R2D1T5Delta150Tmax600Iter1,4.97526,4.97516,4.97526,4.97526
R2D1T10Delta50Tmax75Iter8,2.99548,2.99543,2.99548,2.99548
R2D1T10Delta125Tmax150Iter0,6.98845,6.98903,6.98903,6.98903
R2D1T10Delta125Tmax300Iter0,6.98845,6.98903,6.98845,6.98903
R2D1T10Delta125Tmax450Iter0,6.98845,6.98903,6.98845,6.98903
R2D1T10Delta125Tmax600Iter0,6.98845,6.98903,6.98845,6.98903
R2D2T10Delta75Tmax150Iter5,2.98855,2.98855,2.98842,2.98855
R2D2T10Delta75Tmax300Iter5,2.98855,2.98855,2.98842,2.98855
R2D2T10Delta75Tmax450Iter5,2.98855,2.98855,2.98842,2.98855
R2D2T10Delta75Tmax600Iter5,2.98855,2.98855,2.98842,2.98855
R2D2T10Delta100Tmax300Iter0,6.97179,6.97179,7.97179,6.97179
R2D2T10Delta100Tmax450Iter0,7.96456,7.96456,7.96456,7.97179
R2D2T10Delta100Tmax600Iter0,7.96456,7.96456,7.96456,7.97179
R2D2T10Delta100Tmax600Iter2,4.96008,4.96008,4.95967,4.96008
R2D2T10Delta150Tmax450Iter7,8.96389,8.96456,8.96456,8.96456
R2D2T10Delta150Tmax600Iter9,8.96557,8.96557,8.96557,8.96552
R2D3T5Delta50Tmax50Iter7,1.99731,1.99731,1.99733,1.99731
R2D3T5Delta50Tmax150Iter7,1.99731,1.99731,1.99733,1.99731
R2D3T5Delta50Tmax300Iter7,1.99731,1.99731,1.99733,1.99731
R2D3T5Delta100Tmax150Iter1,2.99195,2.99195,2.99191,2.99195
R2D3T5Delta100Tmax300Iter1,2.99191,2.99195,2.99195,2.99195
R2D3T5Delta100Tmax450Iter1,2.99191,2.99195,2.99191,2.99191
R2D3T5Delta100Tmax600Iter1,2.99191,2.99195,2.99191,2.99195
R2D3T10Delta50Tmax75Iter8,3.99435,3.99435,3.99435,3.99405
R2D3T10Delta125Tmax75Iter7,4.99341,4.99341,4.9934,4.99341
R3D1T5Delta100Tmax300Iter9,3.99201,3.99187,3.99201,3.99201
R3D1T5Delta100Tmax600Iter9,3.99201,3.99201,3.99187,3.99201
R3D1T5Delta125Tmax150Iter1,2.98802,2.98802,2.98802,2.98781
R3D1T5Delta125Tmax150Iter9,3.99201,3.99187,3.99201,3.99201
R3D1T5Delta125Tmax300Iter9,3.99201,3.99201,3.99187,3.99201
R3D1T5Delta125Tmax450Iter9,3.99187,3.99201,3.99187,3.99187
R3D1T5Delta125Tmax600Iter9,3.99187,3.99201,3.99201,3.99201
R3D1T5Delta150Tmax150Iter9,3.99201,3.99201,3.99201,3.99187
R3D1T5Delta150Tmax300Iter9,3.99201,3.99201,3.99187,3.99201
R3D1T10Delta125Tmax450Iter0,6.98845,6.98903,6.98903,6.98903
R3D1T10Delta125Tmax600Iter0,6.98845,6.98903,6.98903,6.98903
R3D2T10Delta100Tmax300Iter0,7.972,7.97257,7.97257,7.97257
R3D2T10Delta100Tmax450Iter0,7.97257,7.97242,7.97257,7.97257
R3D2T10Delta100Tmax600Iter0,7.97179,7.97179,7.97257,7.97257
R3D2T10Delta125Tmax300Iter8,8.97234,8.97233,8.97234,8.97234
R3D3T5Delta50Tmax50Iter7,1.99731,1.99731,1.99733,1.99731
R3D3T5Delta50Tmax75Iter7,1.99731,1.99731,1.99733,1.99731
R3D3T5Delta50Tmax150Iter7,1.99731,1.99733,1.99733,1.99731
R3D3T5Delta50Tmax300Iter7,1.99731,1.99731,1.99733,1.99733
R3D3T5Delta50Tmax450Iter7,1.99731,1.99731,1.99733,1.99731
R3D3T5Delta50Tmax600Iter7,1.99731,1.99731,1.99733,1.99733
R3D3T5Delta100Tmax150Iter1,2.99191,2.99195,2.99195,2.99195
R3D3T5Delta100Tmax300Iter1,2.99191,2.99195,2.99195,2.99195
R3D3T5Delta100Tmax450Iter1,2.99191,2.99195,2.99195,2.99195
R3D3T5Delta100Tmax600Iter1,2.99191,2.99195,2.99195,2.99195
R3D3T5Delta125Tmax150Iter1,3.98857,3.9884,3.9884,3.98857
R3D3T5Delta150Tmax150Iter1,3.98847,3.98854,3.98854,3.98854
R3D3T10Delta50Tmax50Iter7,3.99672,3.99663,3.99672,3.99672
R3D3T10Delta75Tmax75Iter0,5.99463,5.99454,5.99463,5.99438
R3D3T10Delta75Tmax300Iter0,5.99463,5.99454,5.99463,5.99463
R3D3T10Delta150Tmax450Iter3,9.97178,9.97137,9.97178,9.97178
R3D3T10Delta150Tmax600Iter2,9.97218,9.97224,9.97224,9.97224
R4D1T5Delta150Tmax150Iter9,3.99187,3.99187,3.99201,3.99201
R4D1T10Delta75Tmax75Iter8,4.9934,4.99344,4.99344,4.99344
R4D1T10Delta75Tmax300Iter8,4.9934,4.99344,4.99344,4.99344
R4D1T10Delta75Tmax450Iter8,4.9934,4.99344,4.99344,4.99344
R4D1T10Delta75Tmax600Iter8,4.9934,4.99344,4.99344,4.99344
R4D1T10Delta100Tmax75Iter8,4.9934,4.99344,4.99344,4.99344
R4D1T10Delta150Tmax75Iter8,4.9934,4.99344,4.99344,4.99344
R4D2T5Delta150Tmax150Iter7,3.98956,3.98955,3.98956,3.98956
R4D2T10Delta100Tmax150Iter1,3.99023,3.99026,3.99026,3.99026
R4D2T10Delta100Tmax300Iter0,7.9726,7.972,7.9726,7.9726
R4D2T10Delta100Tmax450Iter0,7.9726,7.9726,7.9726,7.97227
R4D2T10Delta100Tmax600Iter0,7.9726,7.9726,7.9726,7.97257
R4D3T5Delta50Tmax50Iter7,1.99731,1.99731,1.99733,1.99731
R4D3T5Delta50Tmax75Iter7,1.99731,1.99731,1.99733,1.99731
R4D3T5Delta50Tmax150Iter7,1.99731,1.99733,1.99733,1.99731
R4D3T5Delta50Tmax300Iter7,1.99731,1.99733,1.99733,1.99733
R4D3T5Delta50Tmax450Iter7,1.99731,1.99733,1.99733,1.99733
R4D3T5Delta50Tmax600Iter7,1.99731,1.99733,1.99733,1.99731
R4D3T5Delta100Tmax150Iter1,2.99191,2.99195,2.99195,2.99195
R4D3T5Delta100Tmax300Iter1,2.99191,2.99195,2.99195,2.99195
R4D3T5Delta100Tmax450Iter1,2.99191,2.99195,2.99195,2.99195
R4D3T5Delta100Tmax600Iter1,2.99191,2.99195,2.99195,2.99195
R4D3T10Delta75Tmax75Iter0,5.99471,5.99463,5.99471,5.99463
R4D3T10Delta150Tmax75Iter0,4.99289,4.99289,4.99289,4.99276
R4D3T10Delta150Tmax300Iter3,9.97361,9.97274,9.97361,9.97361
R4D3T10Delta150Tmax300Iter6,9.97543,9.97543,9.97543,9.97542
R4D3T10Delta150Tmax450Iter3,9.97361,9.97274,9.97361,9.97361
R4D3T10Delta150Tmax450Iter6,9.97543,9.97543,9.97543,9.97542
R4D3T10Delta150Tmax600Iter1,9.97278,9.9733,9.9733,9.9733
R4D3T10Delta150Tmax600Iter3,9.97361,9.97274,9.97361,9.97361
