 , , ,F1,F1,F1,F1,F2,F2,F2,F2,F3,F3,F3,F3,F4,F4,F4,F4
 , , ,D2,D2,D3,D3,D2,D2,D3,D3,D2,D2,D3,D3,D2,D2,D3,D3
 , , ,T5,T10,T5,T10,T5,T10,T5,T10,T5,T10,T5,T10,T5,T10,T5,T10
Tmax150,tau50,Iter0,0.00,0.01,0.07,0.13,0.01,0.02,0.17,0.46,0.00,0.01,0.11,0.07,0.01,0.02,0.15,0.34
Tmax150,tau50,Iter1,0.00,0.01,0.01,0.02,0.01,0.07,0.08,0.06,0.00,0.01,0.04,0.07,0.01,0.10,0.04,0.11
Tmax150,tau50,Iter2,0.00,0.01,0.02,0.15,0.01,0.01,0.08,0.08,0.00,0.01,0.01,0.02,0.00,0.01,0.01,0.03
Tmax150,tau50,Iter3,0.00,0.01,0.01,0.08,0.01,0.03,0.05,0.45,0.00,0.01,0.05,0.09,0.01,0.02,0.02,0.40
Tmax150,tau50,Iter4,0.00,0.02,0.03,0.40,0.01,0.13,0.08,0.28,0.01,0.02,0.08,0.23,0.01,0.04,0.03,0.25
Tmax150,tau50,Iter5,0.00,0.01,0.04,0.09,0.01,0.02,0.05,0.18,0.00,0.01,0.02,0.16,0.01,0.02,0.06,0.24
Tmax150,tau50,Iter6,0.00,0.01,0.10,0.05,0.01,0.01,0.07,0.04,0.00,0.01,0.06,0.02,0.00,0.01,0.04,0.05
Tmax150,tau50,Iter7,0.00,0.02,0.09,0.45,0.01,0.04,0.21,1.03,0.00,0.02,0.11,0.38,0.01,0.04,0.24,1.11
Tmax150,tau50,Iter8,0.00,0.02,0.09,0.22,0.01,0.04,0.06,0.43,0.00,0.02,0.07,0.16,0.01,0.04,0.05,0.51
Tmax150,tau50,Iter9,0.01,0.03,0.16,1.17,0.05,0.31,0.15,3.98,0.01,0.03,0.08,1.85,0.01,0.12,0.19,4.01
Tmax150,tau75,Iter0,0.00,0.05,0.11,0.15,0.01,0.06,0.07,0.43,0.00,0.08,0.08,0.14,0.01,0.05,0.05,0.36
Tmax150,tau75,Iter1,0.01,0.13,0.20,0.40,0.08,0.24,0.36,2.28,0.01,0.17,0.10,0.15,0.13,0.27,0.25,0.66
Tmax150,tau75,Iter2,0.00,0.01,0.01,0.06,0.01,0.02,0.01,0.15,0.00,0.01,0.01,0.09,0.01,0.02,0.01,0.11
Tmax150,tau75,Iter3,0.01,0.02,0.15,0.15,0.02,0.10,0.05,0.56,0.00,0.01,0.05,0.11,0.01,0.08,0.03,0.83
Tmax150,tau75,Iter4,0.07,0.36,0.04,0.53,0.02,0.38,0.08,1.04,0.06,0.59,0.04,0.41,0.02,0.24,0.07,0.78
Tmax150,tau75,Iter5,0.00,0.01,0.04,0.21,0.01,0.04,0.08,0.39,0.00,0.01,0.04,0.17,0.01,0.04,0.12,0.35
Tmax150,tau75,Iter6,0.00,0.01,0.07,0.05,0.01,0.17,0.07,0.09,0.00,0.01,0.02,0.06,0.01,0.03,0.04,0.09
Tmax150,tau75,Iter7,0.01,0.20,0.15,0.54,0.02,0.41,0.15,1.61,0.01,0.14,0.15,0.71,0.02,0.14,0.10,1.23
Tmax150,tau75,Iter8,0.04,0.20,0.25,1.74,0.06,0.75,0.37,6.96,0.02,0.16,0.18,1.03,0.07,0.57,0.24,2.31
Tmax150,tau75,Iter9,0.05,12.43,0.42,168.29,0.05,1.00,0.69,44.17,0.08,2.15,0.31,33.55,0.08,0.51,0.56,75.35
Tmax150,tau150,Iter0,0.07,0.45,0.08,2.41,0.06,0.98,0.06,1.96,0.07,0.38,0.03,1.19,0.06,0.45,0.06,0.71
Tmax150,tau150,Iter1,0.12,2.28,0.34,9.02,0.25,2.20,0.46,13.21,0.09,1.71,0.42,2.52,0.09,1.22,0.23,2.29
Tmax150,tau150,Iter2,0.15,0.21,0.10,0.54,0.13,0.27,0.10,1.28,0.02,0.13,0.05,0.34,0.04,0.13,0.02,0.52
Tmax150,tau150,Iter3,0.10,0.79,0.20,1.74,0.04,0.88,0.14,1.80,0.05,0.53,0.08,0.93,0.07,0.73,0.05,1.11
Tmax150,tau150,Iter4,0.07,2.11,0.19,3.24,0.07,2.73,0.20,3.03,0.05,5.43,0.07,1.13,0.09,2.65,0.09,1.71
Tmax150,tau150,Iter5,0.05,0.98,0.13,5.24,0.07,0.98,0.13,6.40,0.06,1.21,0.10,2.19,0.06,1.01,0.13,2.19
Tmax150,tau150,Iter6,0.06,0.16,0.07,0.44,0.07,0.30,0.12,0.58,0.03,0.15,0.05,0.27,0.03,0.12,0.12,0.39
Tmax150,tau150,Iter7,0.11,2.49,0.15,2.77,0.14,3.67,0.12,2.74,0.15,2.34,0.08,2.44,0.09,1.77,0.15,3.89
Tmax150,tau150,Iter8,0.15,8.19,0.65,30.60,0.15,10.94,0.73,45.63,0.30,1.24,0.51,15.58,0.20,2.55,0.42,9.00
Tmax150,tau150,Iter9,0.18,37.63,0.55,85.24,0.18,32.92,0.44,354.03,0.22,13.16,0.68,53.82,0.21,9.22,0.43,7.59
Tmax300,tau50,Iter0,0.00,0.01,0.09,0.13,0.01,0.02,0.18,0.24,0.00,0.01,0.03,0.11,0.00,0.02,0.10,0.48
Tmax300,tau50,Iter1,0.00,0.01,0.01,0.02,0.01,0.04,0.05,0.08,0.00,0.01,0.05,0.04,0.01,0.06,0.02,0.07
Tmax300,tau50,Iter2,0.00,0.01,0.13,0.07,0.01,0.02,0.01,0.07,0.00,0.01,0.01,0.02,0.01,0.01,0.01,0.03
Tmax300,tau50,Iter3,0.00,0.01,0.01,0.12,0.00,0.03,0.06,0.32,0.00,0.01,0.04,0.08,0.00,0.02,0.05,0.31
