 , , ,F5D1T5,F5D1T10,F5D2T5,F5D2T10,F5D3T5,F5D3T10,F6D1T5,F6D1T10,F6D2T5,F6D2T10,F6D3T5,F6D3T10,F7D1T5,F7D1T10,F7D2T5,F7D2T10,F7D3T5,F7D3T10,F8D1T5,F8D1T10,F8D2T5,F8D2T10,F8D3T5,F8D3T10
Tmax50,\tau50,Min,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.01
Tmax50,\tau50,Avg,0.01,0.04,0.02,0.01,0.05,0.11,0.01,0.05,0.01,0.03,0.03,0.10,0.01,0.04,0.01,0.01,0.02,0.07,0.02,0.04,0.01,0.03,0.04,0.08
Tmax50,\tau50,StdDev,0.01,0.04,0.03,0.01,0.04,0.06,0.02,0.06,0.02,0.03,0.03,0.09,0.01,0.06,0.01,0.01,0.02,0.08,0.03,0.05,0.02,0.02,0.04,0.09
Tmax50,\tau50,Max,0.05,0.15,0.06,0.04,0.14,0.25,0.08,0.17,0.08,0.10,0.10,0.28,0.04,0.21,0.05,0.05,0.05,0.29,0.07,0.17,0.06,0.06,0.14,0.32
Tmax50,\tau75,Min,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01
Tmax50,\tau75,Avg,0.01,0.06,0.02,0.03,0.03,0.06,0.02,0.04,0.01,0.02,0.03,0.08,0.01,0.04,0.01,0.01,0.02,0.06,0.01,0.04,0.01,0.02,0.03,0.05
Tmax50,\tau75,StdDev,0.01,0.06,0.02,0.05,0.04,0.05,0.03,0.06,0.03,0.01,0.03,0.05,0.01,0.06,0.01,0.01,0.02,0.05,0.02,0.05,0.02,0.01,0.03,0.04
Tmax50,\tau75,Max,0.02,0.18,0.07,0.16,0.10,0.14,0.08,0.19,0.09,0.05,0.08,0.19,0.05,0.22,0.03,0.04,0.07,0.15,0.04,0.18,0.05,0.04,0.08,0.14
Tmax50,\tau100,Min,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01
Tmax50,\tau100,Avg,0.01,0.04,0.02,0.02,0.04,0.06,0.02,0.04,0.01,0.02,0.02,0.05,0.01,0.03,0.00,0.01,0.02,0.05,0.01,0.04,0.01,0.01,0.03,0.05
Tmax50,\tau100,StdDev,0.01,0.03,0.03,0.02,0.05,0.05,0.04,0.05,0.02,0.02,0.03,0.05,0.01,0.05,0.00,0.01,0.02,0.03,0.02,0.06,0.01,0.01,0.03,0.03
Tmax50,\tau100,Max,0.04,0.11,0.07,0.07,0.16,0.15,0.10,0.18,0.07,0.08,0.09,0.15,0.04,0.18,0.01,0.02,0.06,0.11,0.05,0.21,0.03,0.04,0.07,0.11
Tmax50,\tau125,Min,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01
Tmax50,\tau125,Avg,0.01,0.06,0.02,0.02,0.03,0.06,0.01,0.05,0.01,0.02,0.01,0.05,0.01,0.04,0.00,0.01,0.01,0.04,0.01,0.04,0.01,0.02,0.01,0.05
Tmax50,\tau125,StdDev,0.02,0.06,0.04,0.04,0.03,0.05,0.02,0.06,0.03,0.03,0.01,0.05,0.02,0.05,0.00,0.01,0.01,0.05,0.01,0.06,0.01,0.02,0.01,0.04
Tmax50,\tau125,Max,0.04,0.17,0.12,0.14,0.09,0.18,0.08,0.22,0.09,0.10,0.05,0.13,0.05,0.19,0.01,0.04,0.04,0.15,0.04,0.20,0.03,0.06,0.04,0.13
Tmax50,\tau150,Min,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01
Tmax50,\tau150,Avg,0.02,0.04,0.02,0.01,0.01,0.05,0.01,0.04,0.01,0.02,0.02,0.04,0.01,0.04,0.01,0.01,0.01,0.03,0.01,0.04,0.01,0.02,0.01,0.04
Tmax50,\tau150,StdDev,0.02,0.05,0.03,0.02,0.01,0.04,0.01,0.05,0.01,0.02,0.03,0.03,0.02,0.08,0.01,0.01,0.01,0.04,0.02,0.05,0.02,0.02,0.01,0.03
Tmax50,\tau150,Max,0.05,0.16,0.07,0.06,0.04,0.13,0.04,0.17,0.05,0.07,0.08,0.08,0.04,0.28,0.03,0.05,0.05,0.15,0.04,0.19,0.06,0.06,0.04,0.10
Tmax75,\tau50,Min,0.00,0.01,0.00,0.01,0.01,0.01,0.00,0.01,0.00,0.01,0.01,0.02,0.00,0.01,0.00,0.01,0.01,0.01,0.00,0.01,0.00,0.01,0.01,0.02
Tmax75,\tau50,Avg,0.02,0.06,0.01,0.03,0.05,0.14,0.03,0.08,0.01,0.03,0.05,0.18,0.01,0.05,0.01,0.01,0.05,0.19,0.02,0.07,0.01,0.03,0.04,0.13
Tmax75,\tau50,StdDev,0.02,0.06,0.02,0.04,0.04,0.12,0.04,0.07,0.01,0.02,0.03,0.18,0.01,0.09,0.01,0.00,0.03,0.28,0.02,0.08,0.01,0.03,0.04,0.13
