Instance,Task count,Recharge count,Distance,Travelled,by each,robot
F1R2D2T5Delta50Tmax150Iter0,0,0,0,0,,
F1R2D2T5Delta50Tmax150Iter1,2,0,41.25366056,0,,
F1R2D2T5Delta50Tmax150Iter2,1,0,0,19.57038507,,
F1R2D2T5Delta50Tmax150Iter3,0,0,0,0,,
F1R2D2T5Delta50Tmax150Iter4,0,0,0,0,,
F1R2D2T5Delta50Tmax150Iter5,0,0,0,0,,
F1R2D2T5Delta50Tmax150Iter6,1,0,0,19.99792048,,
F1R2D2T5Delta50Tmax150Iter7,0,0,0,0,,
F1R2D2T5Delta50Tmax150Iter8,0,0,0,0,,
F1R2D2T5Delta50Tmax150Iter9,0,0,0,0,,
F1R2D2T5Delta50Tmax300Iter0,0,0,0,0,,
F1R2D2T5Delta50Tmax300Iter1,2,0,41.25366056,0,,
F1R2D2T5Delta50Tmax300Iter2,1,0,0,19.57038507,,
F1R2D2T5Delta50Tmax300Iter3,0,0,0,0,,
F1R2D2T5Delta50Tmax300Iter4,0,0,0,0,,
F1R2D2T5Delta50Tmax300Iter5,0,0,0,0,,
F1R2D2T5Delta50Tmax300Iter6,1,0,0,19.99792048,,
F1R2D2T5Delta50Tmax300Iter7,0,0,0,0,,
F1R2D2T5Delta50Tmax300Iter8,0,0,0,0,,
F1R2D2T5Delta50Tmax300Iter9,0,0,0,0,,
F1R2D2T5Delta50Tmax600Iter0,0,0,0,0,,
F1R2D2T5Delta50Tmax600Iter1,2,0,41.25366056,0,,
F1R2D2T5Delta50Tmax600Iter2,1,0,0,19.57038507,,
F1R2D2T5Delta50Tmax600Iter3,0,0,0,0,,
F1R2D2T5Delta50Tmax600Iter4,0,0,0,0,,
F1R2D2T5Delta50Tmax600Iter5,0,0,0,0,,
F1R2D2T5Delta50Tmax600Iter6,1,0,0,19.99792048,,
F1R2D2T5Delta50Tmax600Iter7,0,0,0,0,,
F1R2D2T5Delta50Tmax600Iter8,0,0,0,0,,
F1R2D2T5Delta50Tmax600Iter9,0,0,0,0,,
F1R2D2T5Delta75Tmax150Iter0,1,0,0,32.72999161,,
F1R2D2T5Delta75Tmax150Iter1,1,0,0,41.25366056,,
F1R2D2T5Delta75Tmax150Iter2,1,0,0,19.57038507,,
F1R2D2T5Delta75Tmax150Iter3,1,0,0,33.08289397,,
F1R2D2T5Delta75Tmax150Iter4,0,0,0,0,,
F1R2D2T5Delta75Tmax150Iter5,2,0,64.19092084,0,,
F1R2D2T5Delta75Tmax150Iter6,1,0,0,54.71173328,,
F1R2D2T5Delta75Tmax150Iter7,1,0,0,28.88278361,,
F1R2D2T5Delta75Tmax150Iter8,2,0,27.73243016,34.44572056,,
F1R2D2T5Delta75Tmax150Iter9,1,0,0,36.46561266,,
F1R2D2T5Delta75Tmax300Iter0,1,0,0,32.72999161,,
F1R2D2T5Delta75Tmax300Iter1,1,0,0,41.25366056,,
F1R2D2T5Delta75Tmax300Iter2,1,0,0,19.57038507,,
F1R2D2T5Delta75Tmax300Iter3,1,0,0,33.08289397,,
F1R2D2T5Delta75Tmax300Iter4,0,0,0,0,,
F1R2D2T5Delta75Tmax300Iter5,2,0,64.19092084,0,,
F1R2D2T5Delta75Tmax300Iter6,1,0,0,54.71173328,,
F1R2D2T5Delta75Tmax300Iter7,1,0,0,28.88278361,,
F1R2D2T5Delta75Tmax300Iter8,2,0,27.73243016,34.44572056,,
F1R2D2T5Delta75Tmax300Iter9,1,0,0,36.46561266,,
F1R2D2T5Delta75Tmax600Iter0,1,0,0,32.72999161,,
F1R2D2T5Delta75Tmax600Iter1,1,0,0,41.25366056,,
F1R2D2T5Delta75Tmax600Iter2,1,0,0,19.57038507,,
F1R2D2T5Delta75Tmax600Iter3,1,0,0,33.08289397,,
F1R2D2T5Delta75Tmax600Iter4,0,0,0,0,,
F1R2D2T5Delta75Tmax600Iter5,2,0,64.19092084,0,,
F1R2D2T5Delta75Tmax600Iter6,1,0,0,54.71173328,,
F1R2D2T5Delta75Tmax600Iter7,1,0,0,28.88278361,,
F1R2D2T5Delta75Tmax600Iter8,2,0,27.73243016,34.44572056,,
F1R2D2T5Delta75Tmax600Iter9,1,0,0,36.46561266,,
F1R2D2T5Delta150Tmax150Iter0,1,0,73.62143437,0,,
F1R2D2T5Delta150Tmax150Iter1,2,0,68.48413612,82.61814929,,
F1R2D2T5Delta150Tmax150Iter2,2,0,61.20936031,91.14341605,,
F1R2D2T5Delta150Tmax150Iter3,1,0,0,33.08289397,,
F1R2D2T5Delta150Tmax150Iter4,2,0,50.07079543,67.33279118,,
F1R2D2T5Delta150Tmax150Iter5,2,0,31.77660507,72.10220767,,
F1R2D2T5Delta150Tmax150Iter6,1,0,0,116.2647546,,
F1R2D2T5Delta150Tmax150Iter7,2,0,121.7762718,50.97252372,,
F1R2D2T5Delta150Tmax150Iter8,2,0,34.44572056,86.90572281,,
F1R2D2T5Delta150Tmax150Iter9,1,0,0,98.11103921,,
F1R2D2T5Delta150Tmax300Iter0,3,1,0,628.6243794,,
F1R2D2T5Delta150Tmax300Iter1,3,0,82.61814929,289.4533257,,
F1R2D2T5Delta150Tmax300Iter2,2,1,280.6882926,61.20936031,,
F1R2D2T5Delta150Tmax300Iter3,1,1,208.4047535,0,,
F1R2D2T5Delta150Tmax300Iter4,2,1,240.1764794,50.07079543,,
F1R2D2T5Delta150Tmax300Iter5,2,0,103.8788127,0,,
F1R2D2T5Delta150Tmax300Iter6,3,1,116.2647546,403.8977548,,
F1R2D2T5Delta150Tmax300Iter7,3,0,326.2684024,28.88278361,,
F1R2D2T5Delta150Tmax300Iter8,2,0,318.9134166,0,,
F1R2D2T5Delta150Tmax300Iter9,2,0,0,365.5240697,,
F1R2D2T5Delta150Tmax600Iter0,3,0,0,528.6243794,,
